Log_ID,Datum,Communicatie_Type,Inhoud,Betrokken_Personen
ab18a73a-4cbf-4101-b1f6-25f16e9b378b,2008-05-27 12:00:18,Telefoongesprek,Accusantium eaque quaerat ullam distinctio sunt.,Briana Martin
404624ff-2c19-493b-a682-1266aa020a23,2006-10-30 04:18:10,Sociale Media,Magni temporibus odit mollitia asperiores.,Carolyn Miller
a1570e50-7d4b-4ff6-838f-2e7c38713097,2018-07-01 02:56:53,Email,Repellat voluptates tenetur doloribus veniam aliquam omnis a.,Jonathan Johnson
a7432071-8beb-42b3-b6ce-592a584b2433,1990-12-28 02:05:57,Sociale Media,Cumque sapiente doloribus quo doloremque officiis expedita magni.,Kevin Lane
3edc640a-1904-499a-aeba-2aa75c22b169,1986-05-04 09:51:02,Email,Laborum sed expedita quasi officia ducimus accusantium.,Taylor Campbell
937e3b0b-670b-408c-9c3d-84307ed74310,2008-02-19 10:49:54,Email,Error soluta voluptate quis maxime delectus.,Tammy Nichols
5712dfef-b870-45c2-b4ae-07b6104e8160,1970-04-05 14:31:17,Vergadering,Nostrum dignissimos optio ea earum.,Chelsea Hall
bd1a30bd-49af-4f1c-95ab-d731bcd61b76,2012-08-21 03:35:09,Vergadering,Nihil eos placeat eos ducimus iure repellendus.,Lisa Ray
ab271434-9ca2-4e15-aa79-766f58fcf614,1994-04-17 18:53:32,Sociale Media,Iste maiores itaque magni.,Jeff Hunt MD
e0b45d13-e4cc-4bb3-834c-f422cc99399b,1978-05-10 15:28:17,Email,Libero harum amet in sint facere corporis ratione.,Kayla Barnes
73d3c670-dce9-415d-a816-f8741e401be7,1976-10-14 23:07:16,Sociale Media,Tenetur occaecati unde eos est eum.,Mary Burnett
21a3bdcd-65c1-4f23-977f-19d03a9f7e35,1981-10-14 12:53:10,Telefoongesprek,Dolores fugit culpa eius voluptate.,Alisha Jones
8c58c2f1-92c4-41d3-8d7a-76ee6b7f0c91,1981-01-31 10:16:45,Telefoongesprek,Saepe soluta delectus iusto laudantium possimus facere.,Miranda Fisher
39a51324-5689-4033-9d08-aac08573bed0,2005-11-19 19:20:05,Vergadering,Nihil minima perspiciatis vitae mollitia accusantium.,Katherine Mitchell
6ae7fa2c-3e59-4476-b3a3-77012d29030c,1985-01-30 20:57:12,Telefoongesprek,Quae facilis facilis ipsa corrupti.,Michael Brock
ef01ba51-5c43-4e1e-b6e7-90217ed716d1,1979-12-19 18:50:59,Email,Eum aspernatur assumenda.,Lisa Warner
3b720696-f28e-49bc-8f04-adc276d0a885,2005-11-13 08:45:23,Sociale Media,Dolorem eveniet occaecati aspernatur aspernatur dolorem perspiciatis eveniet.,Kayla Montes
c31bde50-9dd9-45b3-8bab-480bb054d975,1974-03-12 10:30:44,Email,Laboriosam eos voluptate dolorem voluptatibus nulla.,Jesse Mcneil
1c4c1657-74a3-4cf7-81c7-ba3093b369c4,1989-07-12 12:21:42,Vergadering,Ad maxime vero.,Sherry Davis
00f1cf0b-f822-4e67-b705-55f5d94d9fed,2008-11-23 17:48:47,Sociale Media,Modi maxime omnis.,Jamie Harris
